Kürzel/wglcontributor;Name
BNITM;Bernhard-Nocht-Institut für Tropenmedizin
DFA;Deutsche Forschungsanstalt für Lebensmittelchemie
DDZ;Deutsches Diabetes-Zentrum - Leibniz-Zentrum für Diabetes-Forschung an der Heinrich-Heine-Universität Düsseldorf
DIfE;Deutsches Institut für Ernährungsforschung Potsdam-Rehbrücke
DPZ;Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung
DRFZ;Deutsches Rheuma-Forschungszentrum Berlin
FZB;Forschungszentrum Borstel - Leibniz-Zentrum für Medizin und Biowissenschaften
HPI;Heinrich-Pette-Institut - Leibniz-Institut für Experimentelle Virologie
IUF;IUF - Leibniz-Institut für umweltmedizinische Forschung
DSMZ;Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH
FLI;Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut
IfADo;Leibniz-Institut für Arbeitsforschung an der TU Dortmund
IGZ;Leibniz-Institut für Gemüse- und Zierpflanzenbau
IGB;Leibniz-Institut für Gewässerökologie und Binnenfischerei
FMP;Leibniz-Institut für Molekulare Pharmakologie
HKI;Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie - Hans-Knöll-Institut
LIN;Leibniz-Institut für Neurobiologie
FBN;Leibniz-Institut für Nutztierbiologie
IOW;Leibniz-Institut für Ostseeforschung Warnemünde
IPB;Leibniz-Institut für Pflanzenbiochemie
IPK;Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung
BIPS;Leibniz-Institut für Präventionsforschung und Epidemiologie
IZW;Leibniz-Institut für Zoo- und Wildtierforschung
ZALF;Leibniz-Zentrum für Agrarlandschaftsforschung
ZMT;Leibniz-Zentrum für Marine Tropenforschung GmbH
MfN;Museum für Naturkunde - Leibniz-Institut für Evolutions- und Biodiversitätsforschung
SGN;Senckenberg Gesellschaft für Naturforschung
ZB MED;ZB MED - Informationszentrum Lebenswissenschaften
ZFMK;Zoologisches Forschungsmuseum Alexander Koenig - Leibniz-Institut für Biodiversität der Tiere
